frequency (Hz),magnitude L (dB),phase L (deg),magnitude R (dB),phase R (deg)
1282.8899,-0.0234,-2.3179,0.1735,-6.7832
1288.7479,-0.0237,-2.3258,0.1731,-6.8110
1294.6058,-0.0239,-2.3333,0.1730,-6.8394
1300.4638,-0.0241,-2.3404,0.1724,-6.8678
1306.3217,-0.0242,-2.3493,0.1722,-6.8972
1312.1796,-0.0245,-2.3579,0.1720,-6.9263
1318.0376,-0.0248,-2.3646,0.1715,-6.9544
1323.8955,-0.0250,-2.3720,0.1712,-6.9837
1329.7535,-0.0252,-2.3803,0.1707,-7.0121
1335.6114,-0.0255,-2.3881,0.1706,-7.0402
1341.4694,-0.0258,-2.3959,0.1701,-7.0690
1347.3273,-0.0259,-2.4043,0.1697,-7.0983
1353.1853,-0.0262,-2.4122,0.1695,-7.1270
1359.0432,-0.0264,-2.4199,0.1692,-7.1557
1364.9011,-0.0265,-2.4280,0.1688,-7.1849
1370.7591,-0.0269,-2.4347,0.1685,-7.2130
1376.6170,-0.0272,-2.4450,0.1681,-7.2418
1382.4750,-0.0273,-2.4515,0.1678,-7.2707
1388.3329,-0.0276,-2.4598,0.1675,-7.2997
1394.1909,-0.0278,-2.4669,0.1671,-7.3282
1400.0488,-0.0281,-2.4755,0.1667,-7.3575
1405.9068,-0.0283,-2.4834,0.1664,-7.3858
1411.7647,-0.0285,-2.4914,0.1660,-7.4144
1417.6227,-0.0287,-2.4994,0.1656,-7.4442
1423.4806,-0.0290,-2.5075,0.1653,-7.4722
1429.3385,-0.0293,-2.5152,0.1648,-7.5015
1435.1965,-0.0296,-2.5232,0.1645,-7.5300
1441.0544,-0.0298,-2.5317,0.1641,-7.5580
1446.9124,-0.0300,-2.5393,0.1638,-7.5866
1452.7703,-0.0302,-2.5468,0.1634,-7.6169
1458.6283,-0.0305,-2.5555,0.1631,-7.6445
1464.4862,-0.0309,-2.5626,0.1628,-7.6744
1470.3442,-0.0311,-2.5707,0.1623,-7.7036
1476.2021,-0.0313,-2.5801,0.1619,-7.7317
1482.0600,-0.0315,-2.5874,0.1615,-7.7595
1487.9180,-0.0319,-2.5951,0.1612,-7.7893
1493.7759,-0.0321,-2.6032,0.1608,-7.8185
1499.6339,-0.0324,-2.6110,0.1603,-7.8469
1505.4918,-0.0325,-2.6195,0.1599,-7.8761
1511.3498,-0.0330,-2.6280,0.1595,-7.9045
1517.2077,-0.0332,-2.6351,0.1592,-7.9340
1523.0657,-0.0335,-2.6435,0.1588,-7.9627
1528.9236,-0.0338,-2.6510,0.1583,-7.9911
1534.7815,-0.0340,-2.6595,0.1580,-8.0200
1540.6395,-0.0341,-2.6680,0.1575,-8.0495
1546.4974,-0.0344,-2.6767,0.1571,-8.0781
1552.3554,-0.0347,-2.6845,0.1568,-8.1070
1558.2133,-0.0349,-2.6914,0.1564,-8.1360
1564.0713,-0.0355,-2.7003,0.1559,-8.1653
1569.9292,-0.0357,-2.7087,0.1555,-8.1941
1575.7872,-0.0359,-2.7163,0.1551,-8.2229
1581.6451,-0.0362,-2.7244,0.1547,-8.2512
1587.5031,-0.0366,-2.7322,0.1543,-8.2810
1593.3610,-0.0368,-2.7399,0.1538,-8.3096
1599.2189,-0.0371,-2.7479,0.1533,-8.3390
1605.0769,-0.0374,-2.7559,0.1530,-8.3678
1610.9348,-0.0377,-2.7656,0.1527,-8.3967
1616.7928,-0.0379,-2.7724,0.1521,-8.4250
1622.6507,-0.0381,-2.7807,0.1517,-8.4543
1628.5087,-0.0385,-2.7888,0.1513,-8.4829
1634.3666,-0.0388,-2.7969,0.1508,-8.5124
1640.2246,-0.0392,-2.8054,0.1504,-8.5414
1646.0825,-0.0394,-2.8132,0.1500,-8.5699
1651.9404,-0.0397,-2.8214,0.1495,-8.5990
1657.7984,-0.0400,-2.8291,0.1490,-8.6280
1663.6563,-0.0403,-2.8371,0.1487,-8.6564
1669.5143,-0.0406,-2.8452,0.1481,-8.6855
1675.3722,-0.0409,-2.8552,0.1478,-8.7143
1681.2302,-0.0412,-2.8614,0.1474,-8.7425
1687.0881,-0.0416,-2.8701,0.1469,-8.7727
1692.9461,-0.0418,-2.8786,0.1464,-8.8007
1698.8040,-0.0422,-2.8863,0.1460,-8.8305
1704.6619,-0.0424,-2.8944,0.1455,-8.8587
1710.5199,-0.0427,-2.9026,0.1452,-8.8884
1716.3778,-0.0431,-2.9110,0.1447,-8.9182
1722.2358,-0.0435,-2.9186,0.1440,-8.9463
1728.0937,-0.0436,-2.9271,0.1437,-8.9751
1733.9517,-0.0440,-2.9357,0.1432,-9.0047
1739.8096,-0.0443,-2.9434,0.1428,-9.0339
1745.6676,-0.0445,-2.9519,0.1423,-9.0626
1751.5255,-0.0451,-2.9597,0.1417,-9.0916
1757.3835,-0.0454,-2.9686,0.1413,-9.1211
1763.2414,-0.0456,-2.9762,0.1410,-9.1500
1769.0993,-0.0460,-2.9842,0.1403,-9.1787
1774.9573,-0.0464,-2.9923,0.1400,-9.2074
1780.8152,-0.0465,-3.0009,0.1396,-9.2371
1786.6732,-0.0469,-3.0087,0.1391,-9.2658
1792.5311,-0.0473,-3.0170,0.1386,-9.2943
1798.3891,-0.0476,-3.0244,0.1380,-9.3237
1804.2470,-0.0480,-3.0339,0.1376,-9.3531
1810.1050,-0.0483,-3.0420,0.1370,-9.3819
1815.9629,-0.0485,-3.0497,0.1367,-9.4110
1821.8208,-0.0490,-3.0579,0.1361,-9.4396
1827.6788,-0.0492,-3.0672,0.1357,-9.4695
1833.5367,-0.0496,-3.0746,0.1352,-9.4979
1839.3947,-0.0499,-3.0833,0.1347,-9.5274
1845.2526,-0.0502,-3.0909,0.1342,-9.5561
1851.1106,-0.0505,-3.0998,0.1337,-9.5843
1856.9685,-0.0509,-3.1074,0.1333,-9.6144
1862.8265,-0.0512,-3.1161,0.1327,-9.6439
1868.6844,-0.0516,-3.1241,0.1321,-9.6727
1874.5423,-0.0519,-3.1327,0.1319,-9.7010
1880.4003,-0.0524,-3.1405,0.1311,-9.7307
1886.2582,-0.0526,-3.1490,0.1307,-9.7597
1892.1162,-0.0531,-3.1567,0.1301,-9.7887
1897.9741,-0.0533,-3.1645,0.1296,-9.8177
1903.8321,-0.0536,-3.1723,0.1291,-9.8465
1909.6900,-0.0541,-3.1813,0.1286,-9.8755
1915.5480,-0.0545,-3.1898,0.1281,-9.9056
1921.4059,-0.0547,-3.1982,0.1276,-9.9339
1927.2639,-0.0551,-3.2055,0.1269,-9.9628
1933.1218,-0.0555,-3.2140,0.1265,-9.9917
1938.9797,-0.0559,-3.2233,0.1260,-10.0209
1944.8377,-0.0562,-3.2315,0.1255,-10.0500
1950.6956,-0.0565,-3.2391,0.1250,-10.0789
1956.5536,-0.0569,-3.2468,0.1245,-10.1083
1962.4115,-0.0573,-3.2559,0.1239,-10.1382
1968.2695,-0.0576,-3.2640,0.1234,-10.1667
1974.1274,-0.0580,-3.2724,0.1229,-10.1953
1979.9854,-0.0583,-3.2805,0.1223,-10.2243
1985.8433,-0.0588,-3.2891,0.1218,-10.2540
1991.7012,-0.0592,-3.2971,0.1213,-10.2832
1997.5592,-0.0595,-3.3056,0.1207,-10.3124
2003.4171,-0.0599,-3.3134,0.1201,-10.3414
2009.2751,-0.0603,-3.3204,0.1198,-10.3709
2015.1330,-0.0605,-3.3295,0.1192,-10.3989
2020.9910,-0.0611,-3.3382,0.1185,-10.4286
2026.8489,-0.0614,-3.3462,0.1180,-10.4581
2032.7069,-0.0617,-3.3544,0.1176,-10.4870
2038.5648,-0.0621,-3.3629,0.1170,-10.5160
2044.4227,-0.0625,-3.3710,0.1163,-10.5459
2050.2807,-0.0628,-3.3797,0.1158,-10.5746
2056.1386,-0.0632,-3.3883,0.1153,-10.6039
2061.9966,-0.0636,-3.3971,0.1146,-10.6324
2067.8545,-0.0641,-3.4039,0.1142,-10.6617
2073.7125,-0.0644,-3.4128,0.1135,-10.6907
2079.5704,-0.0648,-3.4211,0.1131,-10.7201
2085.4284,-0.0653,-3.4293,0.1125,-10.7487
2091.2863,-0.0655,-3.4365,0.1119,-10.7781
2097.1443,-0.0661,-3.4448,0.1113,-10.8074
2103.0022,-0.0663,-3.4540,0.1107,-10.8363
2108.8601,-0.0669,-3.4618,0.1103,-10.8654
2114.7181,-0.0672,-3.4704,0.1095,-10.8946
2120.5760,-0.0676,-3.4785,0.1091,-10.9239
2126.4340,-0.0679,-3.4871,0.1086,-10.9524
2132.2919,-0.0683,-3.4953,0.1079,-10.9823
2138.1499,-0.0689,-3.5032,0.1072,-11.0116
2144.0078,-0.0692,-3.5110,0.1068,-11.0406
2149.8658,-0.0695,-3.5195,0.1062,-11.0695
2155.7237,-0.0700,-3.5281,0.1055,-11.1000
2161.5816,-0.0704,-3.5365,0.1050,-11.1282
2167.4396,-0.0708,-3.5449,0.1044,-11.1570
2173.2975,-0.0710,-3.5521,0.1037,-11.1865
2179.1555,-0.0718,-3.5614,0.1033,-11.2155
2185.0134,-0.0720,-3.5696,0.1027,-11.2447
2190.8714,-0.0724,-3.5783,0.1021,-11.2730
2196.7293,-0.0729,-3.5864,0.1013,-11.3029
2202.5873,-0.0732,-3.5949,0.1008,-11.3318
2208.4452,-0.0736,-3.6032,0.1002,-11.3613
2214.3031,-0.0740,-3.6105,0.0996,-11.3897
2220.1611,-0.0745,-3.6194,0.0990,-11.4192
2226.0190,-0.0749,-3.6277,0.0984,-11.4490
2231.8770,-0.0754,-3.6354,0.0978,-11.4775
2237.7349,-0.0759,-3.6443,0.0972,-11.5067
2243.5929,-0.0762,-3.6527,0.0966,-11.5365
2249.4508,-0.0767,-3.6611,0.0960,-11.5650
