frequency (Hz),magnitude L (dB),phase L (deg),magnitude R (dB),phase R (deg)
1177.4469,0.1479,-15.5392,0.1479,-15.5392
1183.3049,0.1477,-15.6135,0.1477,-15.6135
1189.1628,0.1474,-15.6878,0.1474,-15.6878
1195.0207,0.1471,-15.7621,0.1471,-15.7621
1200.8787,0.1468,-15.8364,0.1468,-15.8364
1206.7366,0.1465,-15.9107,0.1465,-15.9107
1212.5946,0.1462,-15.9850,0.1462,-15.9850
1218.4525,0.1460,-16.0593,0.1460,-16.0593
1224.3105,0.1457,-16.1337,0.1457,-16.1337
1230.1684,0.1454,-16.2080,0.1454,-16.2080
1236.0264,0.1451,-16.2824,0.1451,-16.2824
1241.8843,0.1448,-16.3567,0.1448,-16.3567
1247.7423,0.1445,-16.4311,0.1445,-16.4311
1253.6002,0.1442,-16.5055,0.1442,-16.5055
1259.4581,0.1439,-16.5799,0.1439,-16.5799
1265.3161,0.1436,-16.6543,0.1436,-16.6543
1271.1740,0.1433,-16.7287,0.1433,-16.7287
1277.0320,0.1429,-16.8031,0.1429,-16.8031
1282.8899,0.1426,-16.8775,0.1426,-16.8775
1288.7479,0.1423,-16.9519,0.1423,-16.9519
1294.6058,0.1420,-17.0264,0.1420,-17.0264
1300.4638,0.1417,-17.1008,0.1417,-17.1008
1306.3217,0.1414,-17.1753,0.1414,-17.1753
1312.1796,0.1411,-17.2497,0.1411,-17.2497
1318.0376,0.1407,-17.3242,0.1407,-17.3242
1323.8955,0.1404,-17.3986,0.1404,-17.3986
1329.7535,0.1401,-17.4731,0.1401,-17.4731
1335.6114,0.1398,-17.5476,0.1398,-17.5476
1341.4694,0.1394,-17.6221,0.1394,-17.6221
1347.3273,0.1391,-17.6966,0.1391,-17.6966
1353.1853,0.1388,-17.7711,0.1388,-17.7711
1359.0432,0.1384,-17.8456,0.1384,-17.8456
1364.9011,0.1381,-17.9202,0.1381,-17.9202
1370.7591,0.1378,-17.9947,0.1378,-17.9947
1376.6170,0.1374,-18.0692,0.1374,-18.0692
1382.4750,0.1371,-18.1438,0.1371,-18.1438
1388.3329,0.1367,-18.2183,0.1367,-18.2183
1394.1909,0.1364,-18.2929,0.1364,-18.2929
1400.0488,0.1360,-18.3674,0.1360,-18.3674
1405.9068,0.1357,-18.4420,0.1357,-18.4420
1411.7647,0.1353,-18.5166,0.1353,-18.5166
1417.6227,0.1350,-18.5912,0.1350,-18.5912
1423.4806,0.1346,-18.6658,0.1346,-18.6658
1429.3385,0.1343,-18.7404,0.1343,-18.7404
1435.1965,0.1339,-18.8150,0.1339,-18.8150
1441.0544,0.1336,-18.8896,0.1336,-18.8896
1446.9124,0.1332,-18.9642,0.1332,-18.9642
1452.7703,0.1329,-19.0388,0.1329,-19.0388
1458.6283,0.1325,-19.1135,0.1325,-19.1135
1464.4862,0.1321,-19.1881,0.1321,-19.1881
1470.3442,0.1318,-19.2627,0.1318,-19.2627
1476.2021,0.1314,-19.3374,0.1314,-19.3374
1482.0600,0.1310,-19.4121,0.1310,-19.4121
1487.9180,0.1307,-19.4867,0.1307,-19.4867
1493.7759,0.1303,-19.5614,0.1303,-19.5614
1499.6339,0.1299,-19.6361,0.1299,-19.6361
1505.4918,0.1295,-19.7107,0.1295,-19.7107
1511.3498,0.1291,-19.7854,0.1291,-19.7854
1517.2077,0.1288,-19.8601,0.1288,-19.8601
1523.0657,0.1284,-19.9348,0.1284,-19.9348
1528.9236,0.1280,-20.0095,0.1280,-20.0095
1534.7815,0.1276,-20.0842,0.1276,-20.0842
1540.6395,0.1272,-20.1589,0.1272,-20.1589
1546.4974,0.1268,-20.2336,0.1268,-20.2336
1552.3554,0.1265,-20.3084,0.1265,-20.3084
1558.2133,0.1261,-20.3831,0.1261,-20.3831
1564.0713,0.1257,-20.4578,0.1257,-20.4578
1569.9292,0.1253,-20.5326,0.1253,-20.5326
1575.7872,0.1249,-20.6073,0.1249,-20.6073
1581.6451,0.1245,-20.6821,0.1245,-20.6821
1587.5031,0.1241,-20.7568,0.1241,-20.7568
1593.3610,0.1237,-20.8316,0.1237,-20.8316
1599.2189,0.1233,-20.9064,0.1233,-20.9064
1605.0769,0.1229,-20.9811,0.1229,-20.9811
1610.9348,0.1225,-21.0559,0.1225,-21.0559
1616.7928,0.1221,-21.1307,0.1221,-21.1307
1622.6507,0.1217,-21.2055,0.1217,-21.2055
1628.5087,0.1212,-21.2803,0.1212,-21.2803
1634.3666,0.1208,-21.3551,0.1208,-21.3551
1640.2246,0.1204,-21.4299,0.1204,-21.4299
1646.0825,0.1200,-21.5047,0.1200,-21.5047
1651.9404,0.1196,-21.5795,0.1196,-21.5795
1657.7984,0.1192,-21.6543,0.1192,-21.6543
1663.6563,0.1187,-21.7291,0.1187,-21.7291
1669.5143,0.1183,-21.8039,0.1183,-21.8039
1675.3722,0.1179,-21.8788,0.1179,-21.8788
1681.2302,0.1175,-21.9536,0.1175,-21.9536
1687.0881,0.1170,-22.0284,0.1170,-22.0284
1692.9461,0.1166,-22.1033,0.1166,-22.1033
1698.8040,0.1162,-22.1781,0.1162,-22.1781
1704.6619,0.1158,-22.2530,0.1158,-22.2530
1710.5199,0.1153,-22.3278,0.1153,-22.3278
1716.3778,0.1149,-22.4027,0.1149,-22.4027
1722.2358,0.1144,-22.4776,0.1144,-22.4776
1728.0937,0.1140,-22.5524,0.1140,-22.5524
1733.9517,0.1136,-22.6273,0.1136,-22.6273
1739.8096,0.1131,-22.7022,0.1131,-22.7022
1745.6676,0.1127,-22.7771,0.1127,-22.7771
1751.5255,0.1122,-22.8519,0.1122,-22.8519
1757.3835,0.1118,-22.9268,0.1118,-22.9268
1763.2414,0.1113,-23.0017,0.1113,-23.0017
1769.0993,0.1109,-23.0766,0.1109,-23.0766
1774.9573,0.1104,-23.1515,0.1104,-23.1515
1780.8152,0.1100,-23.2264,0.1100,-23.2264
1786.6732,0.1095,-23.3013,0.1095,-23.3013
1792.5311,0.1091,-23.3762,0.1091,-23.3762
1798.3891,0.1086,-23.4512,0.1086,-23.4512
1804.2470,0.1082,-23.5261,0.1082,-23.5261
1810.1050,0.1077,-23.6010,0.1077,-23.6010
1815.9629,0.1072,-23.6759,0.1072,-23.6759
1821.8208,0.1068,-23.7509,0.1068,-23.7509
1827.6788,0.1063,-23.8258,0.1063,-23.8258
1833.5367,0.1058,-23.9007,0.1058,-23.9007
1839.3947,0.1054,-23.9757,0.1054,-23.9757
1845.2526,0.1049,-24.0506,0.1049,-24.0506
1851.1106,0.1044,-24.1256,0.1044,-24.1256
1856.9685,0.1040,-24.2005,0.1040,-24.2005
1862.8265,0.1035,-24.2755,0.1035,-24.2755
1868.6844,0.1030,-24.3504,0.1030,-24.3504
1874.5423,0.1025,-24.4254,0.1025,-24.4254
1880.4003,0.1020,-24.5003,0.1020,-24.5003
